Sno,Which of the following best describes your age?,What gender do you most identify with?,Are you a registered to vote?,Are you registered to vote at the current address you reside at?,Do you feel that you fully understand the election process?,In the last 5 years did you vote in a local election? This includes voting for Councillor & mayors,Did you voted in the  2021 elections?,"If not voted, why ?",On what basis do you assess a political candidate?,Which of the following best describes your decision to vote in the 2021 election?,On what basis you select your political candidate.,Contributed or collected money,Attended election meetings/rallies,Participated in door to door canvassing,Distributed election leaflets or put up posters,Do you think the existing government is going in the right direction to benefit Tamil Nadu's people?,How would you rate Edappadi Palanisamy’s performance as the Chief Minister of Tamil Nadu ,What is your assessment of the performance of the AIADMK government in Tamil Nadu in the last five years? Would you say that you have been satisfied or dissatisfied with it? ,During the last two- three years have you or any of your family members benefited from any Government scheme ? ,On the day of voting will you vote for the same party which you voted now or your decision may change? ,Which party do you support in your ward?,What is your opinion about the candidate? ,Which party will rule Tamil Nadu for the next five years?,Why do you think your candidate will win?
281,25 - 40,Female,Yes,Yes,A little,Yes,Yes,,Attended events where the candidate is addressing the people,"I am going to vote, and I don't care who wins.",On the basis on their promises,No,Yes,No,No,Yes,Good,Somewhat satisfied,No,Vote for the same party,AIADMK / BJP,,Edappadi Palanisamy,
282,41 - 50,Male,Yes,No,A moderate amount,Yes,No,I do not have reliable transportation to voting poll,Online Ads,"I am going to vote, but I am not sure who I will vote for yet.",On the basis of past experience/Leadership,Yes,Yes,Yes,No,Yes,Neutral,Fully dissatisfied,No,Vote for the same party,DMK / CONGRESS,"candidate is good, kind and popular ",Kamal Haasan,Kamal Haasan
283,41 - 50,Male,Yes,Yes,A lot,Yes,Yes,,I research all the channels before making my choice,"I am going to vote, and I know which candidate I am voting for.",A die-hard fan of the Party/Candidate,No,No,No,No,Yes,Very good,Fully satisfied,Yes,Vote for the same party,MNM,,Kamal Haasan,
284,18 - 24,Female,Yes,Yes,None at all,No,Yes,,I research all the channels before making my choice,"I am going to vote, and I know which candidate I am voting for.",On the basis of past experience/Leadership,No,No,Yes,No,No,Good,Somewhat satisfied,No,Not prefer to say,Others,,M. A. Stalin,
285,41 - 50,Male,Yes,No,A little,Yes,No,I do not have reliable transportation to voting poll,Other,Other,"Influenced by others (Family, Peers)",No,No,No,No,No,Good,I'm not sure,I'm not sure,Not prefer to say,Others,,Seeman,
286,25 - 40,Male,Yes,No,A moderate amount,Yes,Yes,,Other,"I am going to vote, and I know which candidate I am voting for.",On the basis of past experience/Leadership,No,No,No,No,No,Neutral,Somewhat dissatisfied,No,Vote for the same party,Others,🤷‍♂️,Kamal Haasan,Kamalhaasan
287,18 - 24,Female,Yes,Yes,A little,Yes,Yes,I do not like any of the candidates running,News on TV,"I am going to vote, and I know which candidate I am voting for.",A die-hard fan of the Party/Candidate,Yes,Yes,Yes,Yes,Yes,Very good,Fully satisfied,Yes,Vote for the same party,AIADMK / BJP,,Edappadi Palanisamy,
288,18 - 24,Female,Yes,Yes,A little,Yes,Yes,I do not like any of the candidates running,News on TV,"I am going to vote, but I am not sure who I will vote for yet.",On the basis of past experience/Leadership,Yes,No,Yes,No,Yes,Neutral,Fully satisfied,No,May change,AIADMK / BJP,,Edappadi Palanisamy,
289,41 - 50,Male,No,No,None at all,No,No,I am not registered,Other,Other,On the basis on their promises,No,No,No,No,No,Neutral,Somewhat dissatisfied,No,Not prefer to say,NOTA,,Others,
290,25 - 40,Female,Yes,Yes,A little,Yes,Yes,I do not like any of the candidates running,Attended events where the candidate is addressing the people,"I am going to vote, and I know which candidate I am voting for.",On the basis of past experience/Leadership,Yes,Yes,Yes,Yes,Yes,Very good,Fully satisfied,Yes,Vote for the same party,AIADMK / BJP,,Edappadi Palanisamy,
291,18 - 24,Female,Yes,Yes,A lot,Yes,Yes,"I'm Eligible to vote, but not having Voter ID",Attended events where the candidate is addressing the people,"I am going to vote, but I am not sure who I will vote for yet.",On the basis of past experience/Leadership,Yes,Yes,No,No,Yes,Neutral,Somewhat satisfied,Yes,May change,DMK / CONGRESS,,Seeman,
292,18 - 24,Female,Yes,Yes,A little,Yes,Yes,I do not like any of the candidates running,Articles in the newspaper,"I am going to vote, and I know which candidate I am voting for.",A die-hard fan of the Party/Candidate,No,No,No,No,Yes,Good,Somewhat satisfied,Yes,May change,AIADMK / BJP,,Edappadi Palanisamy,
293,18 - 24,Female,Yes,Yes,A little,Yes,Yes,I do not like any of the candidates running,News on TV,"I am going to vote, and I know which candidate I am voting for.",A die-hard fan of the Party/Candidate,Yes,Yes,Yes,Yes,Yes,Very good,Fully satisfied,Yes,Vote for the same party,AIADMK / BJP,,Edappadi Palanisamy,
294,41 - 50,Male,Yes,Yes,A lot,Yes,Yes,Due to COVID safety measure,Attended events where the candidate is addressing the people,"I am going to vote, but I am not sure who I will vote for yet.",On the basis of past experience/Leadership,No,No,No,No,Yes,Good,Somewhat satisfied,Yes,Vote for the same party,AIADMK / BJP,,Edappadi Palanisamy,
295,Above 50,Male,Yes,Yes,A lot,Yes,Yes,,Attended events where the candidate is addressing the people,"I am going to vote, but I am not sure who I will vote for yet.",On the basis of past experience/Leadership,No,No,No,No,Yes,Very good,Fully satisfied,Yes,Vote for the same party,AIADMK / BJP,,Edappadi Palanisamy,
296,Above 50,Female,Yes,Yes,A lot,Yes,Yes,,Attended events where the candidate is addressing the people,"I am going to vote, and I know which candidate I am voting for.",On the basis of past experience/Leadership,No,No,No,No,Yes,Very good,Fully satisfied,Yes,May change,AIADMK / BJP,,Edappadi Palanisamy,
297,41 - 50,Female,Yes,Yes,A little,Yes,Yes,,I research all the channels before making my choice,"I am going to vote, and I don't care who wins.",On the basis on their promises,No,No,No,No,Yes,Very good,Somewhat satisfied,Yes,Not prefer to say,AIADMK / BJP,,Edappadi Palanisamy,
298,18 - 24,Female,Yes,Yes,A little,Yes,Yes,,I research all the channels before making my choice,"I am going to vote, but I am not sure who I will vote for yet.",On the basis of past experience/Leadership,Yes,No,Yes,No,Yes,Very good,Fully satisfied,Yes,Vote for the same party,AIADMK / BJP,,Edappadi Palanisamy,
299,18 - 24,Female,Yes,Yes,A little,Yes,Yes,,Articles in the newspaper,"I am going to vote, but I am not sure who I will vote for yet.",On the basis of past experience/Leadership,No,No,No,No,Yes,Good,Somewhat satisfied,No,Not prefer to say,NOTA,,T. T. V. Dhinakaran,
300,18 - 24,Female,Yes,Yes,A moderate amount,No,Yes,,News on TV,"I am going to vote, but I am not sure who I will vote for yet.","Influenced by others (Family, Peers)",No,No,No,No,No,Neutral,Somewhat dissatisfied,No,May change,DMK / CONGRESS,,M. A. Stalin,
301,Above 50,Male,Yes,Yes,A moderate amount,Yes,Yes,,Attended events where the candidate is addressing the people,"I am going to vote, and I know which candidate I am voting for.",A die-hard fan of the Party/Candidate,No,Yes,Yes,Yes,Yes,Good,Fully satisfied,No,Vote for the same party,AIADMK / BJP,,Edappadi Palanisamy,
302,Above 50,Male,Yes,Yes,A moderate amount,Yes,Yes,,Attended events where the candidate is addressing the people,"I am going to vote, and I know which candidate I am voting for.",A die-hard fan of the Party/Candidate,No,Yes,Yes,Yes,Yes,Good,Fully satisfied,No,Vote for the same party,AIADMK / BJP,,Edappadi Palanisamy,
303,41 - 50,Male,Yes,Yes,A lot,Yes,Yes,,Articles in the newspaper,"I am going to vote, and I know which candidate I am voting for.",On the basis on their promises,No,No,No,No,No,Neutral,I'm not sure,I'm not sure,Vote for the same party,MNM,,M. A. Stalin,
304,41 - 50,Female,Yes,Yes,A little,Yes,Yes,,News on TV,"I am going to vote, and I know which candidate I am voting for.",On the basis on their promises,No,No,No,No,No,Neutral,I'm not sure,No,May change,AIADMK / BJP,,Edappadi Palanisamy,They give 6 gas cylinders for free
305,25 - 40,Male,Yes,Yes,A little,Yes,Yes,,News on TV,"I am going to vote, and I know which candidate I am voting for.",On the basis of past experience/Leadership,No,No,No,No,No,Bad,Somewhat dissatisfied,I'm not sure,Vote for the same party,NTK,feels like he is one amoung us.,Seeman,Tamil nadu needs a change 
306,18 - 24,Female,Yes,Yes,A little,No,Yes,,News on TV,"I am going to vote, and I don't care who wins.","Influenced by others (Family, Peers)",No,No,No,No,Yes,Neutral,I'm not sure,I'm not sure,May change,AIADMK / BJP,,Edappadi Palanisamy,
307,Above 50,Male,Yes,Yes,A moderate amount,Yes,Yes,,Articles in the newspaper,"I am going to vote, and I know which candidate I am voting for.",On the basis of past experience/Leadership,No,No,No,No,Yes,Good,Fully satisfied,No,Vote for the same party,AIADMK / BJP,,Edappadi Palanisamy,DMK is a corrupt party if it wins Tamil Nadu will have down fall in everything.
308,Above 50,Male,Yes,Yes,A moderate amount,Yes,Yes,,News on TV,"I am going to vote, and I know which candidate I am voting for.",A die-hard fan of the Party/Candidate,No,No,No,No,No,Neutral,Somewhat satisfied,I'm not sure,Vote for the same party,AIADMK / BJP,,Edappadi Palanisamy,
309,18 - 24,Female,Yes,Yes,A little,No,Yes,,News on TV,"I am going to vote, and I know which candidate I am voting for.",On the basis on their promises,No,No,No,No,No,Bad,I'm not sure,No,Vote for the same party,MNM,,Others,
310,18 - 24,Female,Yes,Yes,A little,No,Yes,,News on TV,"I am going to vote, and I know which candidate I am voting for.",On the basis on their promises,No,No,No,No,No,Bad,I'm not sure,No,Vote for the same party,MNM,,Others,
311,18 - 24,Male,Yes,Yes,A little,Yes,Yes,,News on TV,"I am going to vote, and I don't care who wins.",On the basis on their promises,No,No,No,No,No,Neutral,Somewhat dissatisfied,No,Vote for the same party,DMK / CONGRESS,,M. A. Stalin,
312,25 - 40,Male,Yes,Yes,A lot,Yes,Yes,,Articles in the newspaper,"I am going to vote, and I know which candidate I am voting for.",A die-hard fan of the Party/Candidate,No,No,No,No,No,Neutral,I'm not sure,No,Vote for the same party,DMK / CONGRESS,,M. A. Stalin,
313,25 - 40,Female,Yes,Yes,A moderate amount,Yes,Yes,,News on TV,"I am going to vote, and I know which candidate I am voting for.",A die-hard fan of the Party/Candidate,No,No,No,No,Yes,Good,Somewhat satisfied,Yes,Vote for the same party,AIADMK / BJP,,Edappadi Palanisamy,They give monthly concession for house wife's and free gas for cooking.
314,41 - 50,Female,Yes,Yes,A little,Yes,Yes,,I research all the channels before making my choice,"I am going to vote, and I know which candidate I am voting for.",A die-hard fan of the Party/Candidate,No,No,No,No,No,Neutral,Somewhat dissatisfied,No,Vote for the same party,MNM,,Others,
315,25 - 40,Female,Yes,Yes,A lot,Yes,Yes,,Articles in the newspaper,"I am going to vote, and I know which candidate I am voting for.",On the basis on their promises,No,No,No,No,No,Bad,Fully dissatisfied,No,Vote for the same party,NTK,,Seeman,
316,25 - 40,Female,Yes,Yes,A lot,Yes,Yes,,News on TV,"I am going to vote, and I know which candidate I am voting for.",A die-hard fan of the Party/Candidate,No,No,No,No,No,Neutral,I'm not sure,No,Vote for the same party,DMK / CONGRESS,,M. A. Stalin,
317,18 - 24,Male,Yes,Yes,A little,No,Yes,,Other,"I am going to vote, and I don't care who wins.","Influenced by others (Family, Peers)",No,No,No,No,No,Neutral,I'm not sure,I'm not sure,May change,AIADMK / BJP,,Edappadi Palanisamy,
318,18 - 24,Male,Yes,Yes,A moderate amount,No,Yes,,News on TV,"I am going to vote, and I know which candidate I am voting for.",A die-hard fan of the Party/Candidate,No,No,No,No,No,Neutral,Somewhat dissatisfied,No,Vote for the same party,NTK,,Seeman,
319,25 - 40,Male,Yes,Yes,A lot,Yes,Yes,,I research all the channels before making my choice,"I am going to vote, and I know which candidate I am voting for.",On the basis on their promises,No,No,No,No,No,Bad,Fully dissatisfied,No,Vote for the same party,Others,,Seeman,
320,18 - 24,Female,Yes,Yes,A moderate amount,Yes,Yes,,News on TV,"I am going to vote, and I don't care who wins.",On the basis on their promises,No,No,No,No,No,Very Bad,Fully dissatisfied,No,Vote for the same party,MNM,,M. A. Stalin,
321,41 - 50,Male,Yes,Yes,A moderate amount,Yes,Yes,,Articles in the newspaper,"I am going to vote, and I know which candidate I am voting for.",On the basis of past experience/Leadership,No,No,No,No,No,Bad,Somewhat dissatisfied,No,Vote for the same party,DMK / CONGRESS,,M. A. Stalin,
322,25 - 40,Female,Yes,Yes,A moderate amount,Yes,Yes,,I research all the channels before making my choice,"I am going to vote, and I know which candidate I am voting for.",On the basis on their promises,No,No,No,No,No,Neutral,Somewhat dissatisfied,No,Vote for the same party,MNM,,M. A. Stalin,
323,18 - 24,Female,Yes,Yes,A moderate amount,Yes,Yes,,News on TV,"I am going to vote, and I don't care who wins.","Influenced by others (Family, Peers)",No,No,No,No,Yes,Neutral,I'm not sure,No,Vote for the same party,AIADMK / BJP,,Edappadi Palanisamy,
324,18 - 24,Male,Yes,Yes,A moderate amount,No,Yes,,I research all the channels before making my choice,"I am going to vote, and I know which candidate I am voting for.",On the basis on their promises,No,No,No,No,No,Bad,Fully dissatisfied,No,Vote for the same party,MNM,,Kamal Haasan,
325,18 - 24,Male,Yes,Yes,A little,No,Yes,,Articles in the newspaper,"I am going to vote, and I know which candidate I am voting for.",On the basis of past experience/Leadership,No,No,No,No,Yes,Neutral,Somewhat satisfied,No,Vote for the same party,AIADMK / BJP,,Edappadi Palanisamy,
326,25 - 40,Male,Yes,Yes,A moderate amount,Yes,Yes,,News on TV,"I am going to vote, and I know which candidate I am voting for.",A die-hard fan of the Party/Candidate,No,No,No,No,No,Very Bad,Fully dissatisfied,No,Vote for the same party,NTK,,Seeman,
327,25 - 40,Male,Yes,Yes,A moderate amount,Yes,Yes,,Articles in the newspaper,"I am going to vote, and I know which candidate I am voting for.",A die-hard fan of the Party/Candidate,No,No,No,No,No,Neutral,Somewhat dissatisfied,No,Vote for the same party,DMK / CONGRESS,,M. A. Stalin,
328,41 - 50,Female,Yes,Yes,A moderate amount,Yes,Yes,,News on TV,"I am going to vote, and I know which candidate I am voting for.",On the basis of past experience/Leadership,No,No,No,No,Yes,Good,Somewhat satisfied,Yes,Vote for the same party,AIADMK / BJP,,Edappadi Palanisamy,
329,41 - 50,Male,Yes,Yes,A moderate amount,Yes,Yes,,News on TV,"I am going to vote, and I know which candidate I am voting for.",On the basis on their promises,No,No,No,No,No,Bad,Somewhat dissatisfied,No,Vote for the same party,DMK / CONGRESS,,M. A. Stalin,
330,41 - 50,Female,Yes,No,A moderate amount,Yes,No,I do not have reliable transportation to voting poll,News on TV,Other,On the basis on their promises,No,No,No,No,No,Neutral,Somewhat dissatisfied,No,Vote for the same party,MNM,,M. A. Stalin,
331,Above 50,Male,Yes,Yes,A moderate amount,Yes,Yes,,Articles in the newspaper,"I am going to vote, and I know which candidate I am voting for.",On the basis of past experience/Leadership,No,No,No,No,No,Bad,Somewhat dissatisfied,No,Vote for the same party,DMK / CONGRESS,,M. A. Stalin,
332,Above 50,Male,Yes,Yes,A moderate amount,Yes,Yes,,Articles in the newspaper,"I am going to vote, and I know which candidate I am voting for.",A die-hard fan of the Party/Candidate,No,No,No,No,No,Neutral,Fully dissatisfied,No,Vote for the same party,DMK / CONGRESS,,M. A. Stalin,
333,18 - 24,Female,Yes,Yes,A little,Yes,Yes,,News on TV,"I am going to vote, and I know which candidate I am voting for.",On the basis on their promises,No,No,No,No,Yes,Good,Somewhat satisfied,No,Vote for the same party,AIADMK / BJP,,Edappadi Palanisamy,
334,18 - 24,Male,Yes,Yes,A little,No,Yes,,News on TV,"I am going to vote, and I know which candidate I am voting for.",On the basis on their promises,No,No,No,No,No,Bad,Fully dissatisfied,No,Vote for the same party,NTK,,Seeman,
335,18 - 24,Male,Yes,Yes,A little,No,Yes,,News on TV,"I am going to vote, and I know which candidate I am voting for.",On the basis on their promises,No,No,No,No,No,Neutral,Somewhat dissatisfied,No,Vote for the same party,NTK,,Seeman,
336,25 - 40,Male,Yes,Yes,A moderate amount,Yes,Yes,,News on TV,"I am going to vote, and I know which candidate I am voting for.",On the basis of past experience/Leadership,No,No,No,No,No,Neutral,I'm not sure,No,Vote for the same party,DMK / CONGRESS,,M. A. Stalin,
337,25 - 40,Female,Yes,Yes,A little,Yes,Yes,,News on TV,"I am going to vote, and I know which candidate I am voting for.",On the basis on their promises,No,No,No,No,No,Neutral,I'm not sure,No,Vote for the same party,MNM,,Others,
338,25 - 40,Male,Yes,Yes,A lot,Yes,Yes,,I research all the channels before making my choice,"I am going to vote, and I know which candidate I am voting for.",On the basis of past experience/Leadership,No,No,No,No,Yes,Good,Somewhat satisfied,No,Vote for the same party,AIADMK / BJP,,Edappadi Palanisamy,
339,41 - 50,Female,Yes,Yes,A little,Yes,Yes,,News on TV,"I am going to vote, and I know which candidate I am voting for.",A die-hard fan of the Party/Candidate,No,No,No,No,No,Bad,Somewhat dissatisfied,No,Vote for the same party,DMK / CONGRESS,,M. A. Stalin,
340,41 - 50,Female,Yes,Yes,A moderate amount,Yes,Yes,,News on TV,"I am going to vote, and I know which candidate I am voting for.",On the basis of past experience/Leadership,No,No,No,No,Yes,Very good,Fully satisfied,Yes,Vote for the same party,AIADMK / BJP,,Edappadi Palanisamy,
341,41 - 50,Male,Yes,Yes,A lot,Yes,Yes,,Articles in the newspaper,"I am going to vote, and I know which candidate I am voting for.",On the basis of past experience/Leadership,No,No,No,No,Yes,Good,Somewhat satisfied,No,Vote for the same party,AIADMK / BJP,,M. A. Stalin,
342,Above 50,Male,Yes,Yes,A little,Yes,Yes,,News on TV,"I am going to vote, and I know which candidate I am voting for.",On the basis on their promises,No,No,No,No,No,Neutral,I'm not sure,No,Vote for the same party,MNM,,Kamal Haasan,
343,18 - 24,Female,Yes,Yes,A little,No,Yes,,News on TV,"I am going to vote, and I know which candidate I am voting for.",On the basis of past experience/Leadership,No,No,No,No,No,Neutral,I'm not sure,Yes,Vote for the same party,MNM,,Others,
344,18 - 24,Male,Yes,Yes,A little,Yes,Yes,,News on TV,"I am going to vote, and I don't care who wins.","Influenced by others (Family, Peers)",No,No,No,No,No,Neutral,I'm not sure,No,Vote for the same party,DMK / CONGRESS,,M. A. Stalin,
345,18 - 24,Male,Yes,Yes,A moderate amount,Yes,Yes,,Online Ads,"I am going to vote, and I know which candidate I am voting for.",On the basis on their promises,No,No,No,No,No,Neutral,Fully dissatisfied,No,Vote for the same party,DMK / CONGRESS,,M. A. Stalin,
346,25 - 40,Male,Yes,Yes,A moderate amount,Yes,Yes,,News on TV,"I am going to vote, and I know which candidate I am voting for.",On the basis on their promises,No,No,No,No,No,Bad,Somewhat dissatisfied,No,Vote for the same party,MNM,,M. A. Stalin,
347,25 - 40,Male,Yes,Yes,A lot,Yes,Yes,,News on TV,"I am going to vote, and I know which candidate I am voting for.",On the basis on their promises,No,No,No,No,No,Neutral,I'm not sure,No,Vote for the same party,MNM,,Kamal Haasan,
348,25 - 40,Male,Yes,Yes,A moderate amount,Yes,Yes,,News on TV,"I am going to vote, and I know which candidate I am voting for.",A die-hard fan of the Party/Candidate,No,No,No,No,Yes,Good,Somewhat satisfied,No,Vote for the same party,AIADMK / BJP,,Edappadi Palanisamy,
349,41 - 50,Female,Yes,Yes,A little,Yes,Yes,,News on TV,"I am going to vote, and I know which candidate I am voting for.",On the basis of past experience/Leadership,No,No,No,No,Yes,Good,Somewhat satisfied,No,Vote for the same party,AIADMK / BJP,,Edappadi Palanisamy,
350,Above 50,Male,Yes,Yes,A moderate amount,Yes,Yes,,News on TV,"I am going to vote, and I know which candidate I am voting for.",On the basis on their promises,No,No,No,No,No,Very Bad,Fully dissatisfied,No,Vote for the same party,NTK,,Seeman,
351,25 - 40,Male,Yes,Yes,A lot,Yes,Yes,,News on TV,"I am going to vote, and I know which candidate I am voting for.",On the basis on their promises,No,No,No,No,No,Bad,Somewhat dissatisfied,Yes,Vote for the same party,MNM,,Kamal Haasan,
352,Above 50,Female,Yes,Yes,A moderate amount,Yes,Yes,,News on TV,"I am going to vote, and I know which candidate I am voting for.",On the basis of past experience/Leadership,No,No,No,No,No,Neutral,Somewhat dissatisfied,No,Vote for the same party,DMK / CONGRESS,,M. A. Stalin,
353,18 - 24,Female,Yes,Yes,A moderate amount,No,Yes,,News on TV,"I am going to vote, and I know which candidate I am voting for.",On the basis on their promises,No,No,No,No,No,Neutral,Somewhat dissatisfied,No,Vote for the same party,DMK / CONGRESS,,M. A. Stalin,
354,18 - 24,Male,Yes,Yes,A little,Yes,Yes,,Online Ads,"I am going to vote, and I don't care who wins.","Influenced by others (Family, Peers)",No,No,No,No,No,Neutral,I'm not sure,No,Vote for the same party,MNM,,M. A. Stalin,
355,18 - 24,Male,Yes,Yes,A little,No,Yes,,News on TV,"I am going to vote, but I am not sure who I will vote for yet.",On the basis on their promises,No,No,No,No,No,Neutral,Somewhat dissatisfied,No,May change,MNM,,Kamal Haasan,
356,25 - 40,Female,Yes,Yes,A moderate amount,Yes,Yes,,News on TV,"I am going to vote, and I know which candidate I am voting for.",A die-hard fan of the Party/Candidate,No,No,No,No,Yes,Good,Fully satisfied,No,Vote for the same party,AIADMK / BJP,,Edappadi Palanisamy,
357,25 - 40,Male,Yes,Yes,A moderate amount,Yes,Yes,,I research all the channels before making my choice,"I am going to vote, and I know which candidate I am voting for.",On the basis on their promises,No,No,No,No,No,Neutral,Somewhat dissatisfied,No,Vote for the same party,MNM,,Kamal Haasan,
358,25 - 40,Male,Yes,Yes,A moderate amount,Yes,Yes,,News on TV,"I am going to vote, and I know which candidate I am voting for.",A die-hard fan of the Party/Candidate,No,No,No,No,No,Neutral,Fully dissatisfied,No,Vote for the same party,DMK / CONGRESS,,M. A. Stalin,
359,41 - 50,Male,Yes,Yes,A moderate amount,Yes,Yes,,News on TV,"I am going to vote, and I know which candidate I am voting for.",On the basis of past experience/Leadership,No,No,No,No,Yes,Neutral,Somewhat satisfied,No,Vote for the same party,AIADMK / BJP,,Edappadi Palanisamy,
360,41 - 50,Male,Yes,Yes,A moderate amount,Yes,Yes,,Articles in the newspaper,"I am going to vote, and I know which candidate I am voting for.",On the basis on their promises,No,No,No,No,No,Bad,Somewhat dissatisfied,Yes,Vote for the same party,NTK,,Seeman,
361,Above 50,Female,Yes,Yes,A little,Yes,Yes,,News on TV,"I am going to vote, and I know which candidate I am voting for.",On the basis of past experience/Leadership,No,No,No,No,Yes,Good,Somewhat satisfied,No,Vote for the same party,AIADMK / BJP,,Edappadi Palanisamy,
362,Above 50,Male,Yes,Yes,A little,Yes,Yes,,News on TV,"I am going to vote, and I know which candidate I am voting for.",On the basis of past experience/Leadership,No,No,No,No,No,Bad,Fully dissatisfied,No,Vote for the same party,DMK / CONGRESS,,M. A. Stalin,
363,18 - 24,Male,Yes,Yes,A little,No,Yes,,News on TV,"I am going to vote, and I know which candidate I am voting for.",On the basis on their promises,No,No,No,No,No,Neutral,Somewhat satisfied,No,Vote for the same party,MNM,,Kamal Haasan,
364,18 - 24,Male,Yes,Yes,A little,No,Yes,,Online Ads,"I am going to vote, and I know which candidate I am voting for.",On the basis on their promises,No,No,No,No,No,Good,I'm not sure,No,Vote for the same party,MNM,,Kamal Haasan,
365,18 - 24,Male,Yes,Yes,A moderate amount,Yes,Yes,,News on TV,"I am going to vote, and I know which candidate I am voting for.",On the basis on their promises,No,No,No,No,No,Neutral,Somewhat dissatisfied,No,Vote for the same party,NTK,,Seeman,
366,25 - 40,Male,Yes,Yes,A little,Yes,Yes,,News on TV,"I am going to vote, and I know which candidate I am voting for.",On the basis on their promises,No,No,No,No,No,Good,Somewhat satisfied,No,Vote for the same party,NTK,,Seeman,
367,25 - 40,Female,Yes,Yes,A moderate amount,Yes,Yes,,News on TV,"I am going to vote, and I know which candidate I am voting for.",On the basis on their promises,No,No,No,No,Yes,Good,Somewhat satisfied,No,Vote for the same party,AIADMK / BJP,,Edappadi Palanisamy,
368,25 - 40,Male,Yes,Yes,A little,Yes,Yes,,News on TV,"I am going to vote, and I know which candidate I am voting for.",A die-hard fan of the Party/Candidate,No,No,No,No,No,Neutral,Somewhat satisfied,No,Vote for the same party,MNM,,Kamal Haasan,
369,41 - 50,Female,Yes,Yes,A little,Yes,Yes,,News on TV,"I am going to vote, and I know which candidate I am voting for.",On the basis on their promises,No,No,No,No,No,Neutral,I'm not sure,No,Vote for the same party,DMK / CONGRESS,,M. A. Stalin,
370,41 - 50,Male,Yes,Yes,A moderate amount,Yes,Yes,,Articles in the newspaper,"I am going to vote, and I know which candidate I am voting for.",A die-hard fan of the Party/Candidate,No,No,No,No,No,Neutral,Somewhat dissatisfied,No,Vote for the same party,DMK / CONGRESS,,M. A. Stalin,
371,Above 50,Female,Yes,Yes,A little,Yes,Yes,,News on TV,"I am going to vote, and I know which candidate I am voting for.",On the basis of past experience/Leadership,No,No,No,No,No,Neutral,Somewhat satisfied,No,Vote for the same party,DMK / CONGRESS,,M. A. Stalin,
372,Above 50,Female,Yes,Yes,A moderate amount,Yes,Yes,,News on TV,"I am going to vote, and I know which candidate I am voting for.",On the basis of past experience/Leadership,No,No,No,No,Yes,Good,Somewhat satisfied,No,Vote for the same party,AIADMK / BJP,,Edappadi Palanisamy,
373,18 - 24,Female,Yes,Yes,A moderate amount,Yes,Yes,,News on TV,"I am going to vote, and I know which candidate I am voting for.",On the basis on their promises,No,No,No,No,No,Neutral,Somewhat dissatisfied,No,Vote for the same party,DMK / CONGRESS,,M. A. Stalin,
374,18 - 24,Male,Yes,Yes,A moderate amount,No,Yes,,News on TV,"I am going to vote, and I know which candidate I am voting for.",On the basis on their promises,No,No,No,No,No,Neutral,Somewhat satisfied,No,May change,MNM,,Kamal Haasan,
375,18 - 24,Female,Yes,Yes,A little,No,Yes,,Articles in the newspaper,"I am going to vote, and I don't care who wins.",On the basis on their promises,No,No,No,No,No,Neutral,I'm not sure,No,Vote for the same party,NTK,,Seeman,
376,25 - 40,Male,Yes,Yes,A little,Yes,Yes,,News on TV,"I am going to vote, and I know which candidate I am voting for.",On the basis of past experience/Leadership,No,No,No,No,Yes,Good,Somewhat satisfied,No,Vote for the same party,DMK / CONGRESS,,M. A. Stalin,
377,41 - 50,Male,Yes,Yes,A little,Yes,Yes,,News on TV,"I am going to vote, and I know which candidate I am voting for.",On the basis on their promises,No,No,No,No,No,Neutral,I'm not sure,No,Vote for the same party,DMK / CONGRESS,,M. A. Stalin,
378,41 - 50,Female,Yes,Yes,A little,Yes,Yes,,News on TV,"I am going to vote, and I know which candidate I am voting for.",On the basis on their promises,No,No,No,No,No,Good,Somewhat satisfied,No,Vote for the same party,MNM,,Kamal Haasan,
379,41 - 50,Male,Yes,Yes,A lot,Yes,Yes,,I research all the channels before making my choice,"I am going to vote, and I know which candidate I am voting for.",On the basis of past experience/Leadership,No,No,No,No,Yes,Good,Somewhat satisfied,No,Vote for the same party,AIADMK / BJP,,Edappadi Palanisamy,
380,41 - 50,Male,Yes,Yes,A little,Yes,Yes,,News on TV,"I am going to vote, and I know which candidate I am voting for.",A die-hard fan of the Party/Candidate,No,Yes,No,No,No,Good,I'm not sure,No,Vote for the same party,DMK / CONGRESS,,M. A. Stalin,
381,41 - 50,Female,Yes,Yes,A little,Yes,Yes,,Articles in the newspaper,"I am going to vote, and I know which candidate I am voting for.",On the basis on their promises,No,No,No,No,No,Neutral,Somewhat dissatisfied,Yes,Vote for the same party,DMK / CONGRESS,,M. A. Stalin,
382,Above 50,Male,Yes,Yes,A lot,Yes,Yes,,News on TV,"I am going to vote, and I know which candidate I am voting for.",A die-hard fan of the Party/Candidate,No,No,No,No,Yes,Very good,Fully satisfied,No,Vote for the same party,AIADMK / BJP,,Edappadi Palanisamy,
383,18 - 24,Male,Yes,Yes,A little,Yes,Yes,,Other,"I am going to vote, and I know which candidate I am voting for.",On the basis of past experience/Leadership,No,No,No,No,Yes,Good,Somewhat satisfied,No,Vote for the same party,DMK / CONGRESS,,M. A. Stalin,
